name,segment_ids,id,descriptn,part_of
Lents Park Loop,167386;167387;167388;167393;167394;167395;167396;167397;167398;167467;167985;167986;167987;167988;167989;168505;168759;169236;169237;169276;169278;169279,167386,,""
Bluff Trail,167524;167787;169870;170817;170818;171351;172006;174632;175568;175603;175848;176495;176774;176775;177981,170817,,""
Willamette Greenway,170827;171981,170827,,""
Tunnel Trail,171963;174287,171963,,""
SW Nebraska St.,169757;179847,179847,,""
Water Tank Access Road,167503;168305;169128;169365;169681;175957,167503,,""
Springwater On The Willamette Connector,167505,167505,,""
Dunbar - Firelane 15 Connector,167590;167591;167979,167590,,""
Creston Loop,170884;172130;175901;180966,170884,,""
Alice Trail,167604;167998;168188;168615,167604,,""
Holman Ln.,167608;167609;167610;167696;168189;170129;170235;171792;171983;174490;174802;175317;176058;176388;176493;176494;177611;177702,167608,,""
Eastbank Esplanade,165533;167363;170927;171181;171566;171711;171931;172354;172406;172465;172619;172709;172893;172905;173074;173194;173352;173486;173491;173787;173788;173789;173795;173968;174131;174239;174317;177193;178398;179571;179582;180239;180240;180442;181229;181290;181292,172406,,""
Service Road Trail,169526;170935;174175;175758;176052;176387,170935,,""
South Waterfront Greenway,168557;169908;169958;170940;174292;178342;178524;180394;180537,170940,,""
Clarendon Ave - Fessenden St Connector,167864;167865,167864,,""
Alderwood Trail,170980;172589;172590;172674;172675;173134;173148;173564;173565;173566;173567;173770;173771;173803;173804;173805;173873;174040;180658;180661;180911;181156;181748,170980,,""
Hawthorne Bridge - Connector,171005;174709;174710;176763;179283;180743;181673,171005,,""
Lake Oswego Willamette Greenway Trail,165885;169199;170491;170825;171015;171032;171087;171088;171091;171280;171745;171746;171954;172039;172227;172253;172331;172741;172742;172747;172792;172898;172904;172946;173086;173382;173410;173412;173489;173677;173728;173838;173841;174116;174139;174140;175190;175191;175193;175655;176669;180300;180304,171015,,""
Firelane 12,171971;174275;174366;177044;177045;178232,171971,,""
Willamette River Greenway Trail,165536;165641;165884;165892;165948;168070;168847;169476;169570;169626;169674;169832;169848;169849;169851;169981;170195;170484;170993;171136;171194;171235;171298;171301;171798;171800;172166;172336;172713;172862;172938;172958;173062;173133;173234;173314;173464;173465;173480;173547;173908;174010;174015;174018;174132;174352;174793;174799;174970;175048;175418;176220;176376;176552;176849;176924;176955;177138;177232;177374;177589;177721;178084;178115;178137;178278;178367;179246;179722;180243;180745;181226;181294,168070,,""
Cumberland Trail,171973;172971;176516,171973,,""
Lincoln Park Trails,179981;179982;180049;180050;180051;180155;180156;180157;180536;180767;180768;180769;180770;180771;180995;180998;180999;181001;181223;181227,181001,,""
Firelane 15 Parking,168164;169613,168164,,""
Stairway To Heaven Trail,168254,168254,,""
NW 10th Ave.,168325;173081;173899;174291;176302;177833;179721;179898,168325,,""
Riverplace Trail,171154,171154,,""
N Kelley Point Park Rd.,171187;173461;175897;177198,171187,,""
Ventura Park Trails,168506;168507;168508;174142;174143;174144;174146;175114;175115;175116;175167;175168;175169;175171;175394;181800;181801;181802,168508,,""
George Himes Park Trail,168521;170206;171284;172385;173153;173202;173384;173510;173616;174243;175244;176406;176796;176797;176915,168521,,""
